name,position,season,games_played,total_tackles,sacks,safties,passes_defended,interceptions,ints_for_tds,int_yards,longest_int_return
"Jenkins, John",DT,2014,12,30,1,0,1,0,0,0,0
"Jenkins, John",DT,2013,16,21,0,0,0,0,0,0,0
"Glanton, Adarius",OLB,2016,16,13,0,0,0,0,0,0,0
"Glanton, Adarius",OLB,2015,5,0,0,0,0,0,0,0,0
"Glanton, Adarius",OLB,2014,10,12,0,0,0,0,0,0,0
"Hurst, Demontre",DB,2016,10,14,1,0,2,1,0,0,0
"Hurst, Demontre",DB,2015,7,5,0,0,0,0,0,0,0
"Hurst, Demontre",DB,2014,15,39,0,0,1,1,0,0,0
"Hill, Jordan",DT,2016,4,0,0,0,0,0,0,0,0
"Hill, Jordan",DT,2016,0,0,0,0,0,0,0,0,0
"Hill, Jordan",DT,2015,10,24,0,0,1,0,0,0,0
"Hill, Jordan",DT,2014,13,19,5.5,0,4,1,0,8,8
"Hill, Jordan",DT,2013,4,7,1.5,0,0,0,0,0,0
"Flowers, Marquis",OLB,2016,16,7,0,0,0,0,0,0,0
"Flowers, Marquis",OLB,2014,16,8,0,0,1,0,0,0,0
"Hood, Ziggy",NT,2016,16,33,1,0,3,0,0,0,0
"Hood, Ziggy",NT,2015,2,0,0,0,0,0,0,0,0
"Hood, Ziggy",NT,2014,16,24,1,0,0,0,0,0,0
"Hood, Ziggy",NT,2013,16,39,3,0,0,0,0,0,0
"Hood, Ziggy",NT,2012,16,42,3,0,3,0,0,0,0
"Hood, Ziggy",NT,2011,16,31,1.5,0,1,0,0,0,0
"Hood, Ziggy",NT,2010,16,20,3,0,1,0,0,0,0
"Hood, Ziggy",NT,2009,16,8,1,0,2,0,0,0,0
"Whitehead, Tahir",MLB,2016,15,132,0,0,5,0,0,0,0
"Whitehead, Tahir",MLB,2015,16,50,2,0,6,1,0,26,26
"Whitehead, Tahir",MLB,2014,16,86,0,0,5,2,0,2,2
"Whitehead, Tahir",MLB,2013,16,9,0,0,0,0,0,0,0
"Whitehead, Tahir",MLB,2012,14,11,0,0,0,0,0,0,0
"Bromley, Jay",DT,2016,15,14,1,0,0,0,0,0,0
"Bromley, Jay",DT,2015,16,36,0,0,0,0,0,0,0
"Bromley, Jay",DT,2014,8,5,0,0,0,0,0,0,0
"Davis, Todd",ILB,2016,16,97,0.5,0,3,0,0,0,0
"Davis, Todd",ILB,2015,16,21,0,0,0,0,0,0,0
"Davis, Todd",ILB,2014,6,19,0,0,2,0,0,0,0
"Davis, Todd",ILB,2014,3,3,0,0,0,0,0,0,0
"Porter, Tracy",CB,2016,16,48,0,0,9,2,0,28,25
"Porter, Tracy",CB,2015,14,35,0,0,12,1,0,2,2
"Porter, Tracy",CB,2014,3,5,0,0,1,0,0,0,0
"Porter, Tracy",CB,2013,16,67,1.5,0,12,2,1,44,43T
"Porter, Tracy",CB,2012,6,21,0,0,6,1,1,43,43T
"Porter, Tracy",CB,2011,14,52,0,0,9,1,0,-7,-7
"Porter, Tracy",CB,2010,12,60,0,0,6,1,0,5,5
"Porter, Tracy",CB,2009,12,57,0,0,12,4,1,72,54T
"Porter, Tracy",CB,2008,5,25,1,0,5,1,0,25,25
"Graham, Jimmy",TE,2016,16,1,0,0,0,0,0,0,0
"Graham, Jimmy",TE,2015,11,1,0,0,0,0,0,0,0
"Graham, Jimmy",TE,2014,16,1,0,0,0,0,0,0,0
"Graham, Jimmy",TE,2013,16,3,0,0,0,0,0,0,0
"Graham, Jimmy",TE,2012,15,0,0,0,0,0,0,0,0
"Graham, Jimmy",TE,2011,16,0,0,0,0,0,0,0,0
"Graham, Jimmy",TE,2010,15,2,0,0,0,0,0,0,0
"Harris, DuJuan",RB,2016,10,1,0,0,0,0,0,0,0
"Harris, DuJuan",RB,2015,2,0,0,0,0,0,0,0,0
"Harris, DuJuan",RB,2015,2,0,0,0,0,0,0,0,0
"Harris, DuJuan",RB,2014,15,1,0,0,0,0,0,0,0
"Harris, DuJuan",RB,2012,4,0,0,0,0,0,0,0,0
"Harris, DuJuan",RB,2011,5,0,0,0,0,0,0,0,0
"Smith, Antonio",DE,2016,13,4,0.5,0,0,0,0,0,0
"Smith, Antonio",DE,2015,16,9,2.5,0,2,0,0,0,0
"Smith, Antonio",DE,2014,16,20,3,0,0,0,0,0,0
"Smith, Antonio",DE,2013,15,30,5,0,0,0,0,0,0
"Smith, Antonio",DE,2012,16,30,7,0,3,0,0,0,0
"Smith, Antonio",DE,2011,16,25,6.5,0,2,0,0,0,0
"Smith, Antonio",DE,2010,16,38,4,0,2,0,0,0,0
"Smith, Antonio",DE,2009,16,34,4.5,0,1,0,0,0,0
"Smith, Antonio",DE,2008,16,41,3.5,0,0,0,0,0,0
"Smith, Antonio",DE,2007,16,43,5.5,0,0,0,0,0,0
"Smith, Antonio",DE,2006,16,25,2.5,0,0,0,0,0,0
"Smith, Antonio",DE,2005,12,16,3,0,0,0,0,0,0
"Smith, Antonio",DE,2004,2,0,0,0,0,0,0,0,0
"Mitchell, Mike",FS,2016,16,77,0,0,9,1,0,26,26
"Mitchell, Mike",FS,2015,16,80,0,0,9,3,0,16,9
"Mitchell, Mike",FS,2014,16,71,0,0,3,0,0,0,0
"Mitchell, Mike",FS,2013,15,66,3.5,0,8,4,0,63,38
"Mitchell, Mike",FS,2012,16,41,1,0,0,0,0,0,0
"Mitchell, Mike",FS,2011,13,31,1,0,5,1,0,0,0
"Mitchell, Mike",FS,2010,16,51,0,0,5,1,0,0,0
"Mitchell, Mike",FS,2009,16,16,1.5,0,0,0,0,0,0
"White, DeAndrew",WR,2015,4,1,0,0,0,0,0,0,0
"Williams, Andre",RB,2016,1,0,0,0,0,0,0,0,0
"Williams, Andre",RB,2015,16,2,0,0,0,0,0,0,0
"Williams, Andre",RB,2014,16,1,0,0,0,0,0,0,0
"Wright, K.J.",OLB,2016,16,126,4,0,5,0,0,0,0
"Wright, K.J.",OLB,2015,16,116,1,0,3,0,0,0,0
"Wright, K.J.",OLB,2014,16,107,2,0,4,0,0,0,0
"Wright, K.J.",OLB,2013,13,80,1.5,0,4,0,0,0,0
"Wright, K.J.",OLB,2012,15,98,1,0,5,1,0,24,24
"Wright, K.J.",OLB,2011,16,65,2,0,3,0,0,0,0
"Tamme, Jacob",TE,2016,8,0,0,0,0,0,0,0,0
"Tamme, Jacob",TE,2015,15,1,0,0,0,0,0,0,0
"Tamme, Jacob",TE,2014,15,4,0,0,0,0,0,0,0
"Tamme, Jacob",TE,2013,16,11,0,0,0,0,0,0,0
"Tamme, Jacob",TE,2012,16,4,0,0,0,0,0,0,0
"Tamme, Jacob",TE,2011,16,5,0,0,0,0,0,0,0
"Tamme, Jacob",TE,2010,16,8,0,0,0,0,0,0,0
"Tamme, Jacob",TE,2009,16,9,0,0,0,0,0,0,0
"Tamme, Jacob",TE,2008,12,3,0,0,0,0,0,0,0
"Tulloch, Stephen",OLB,2016,12,7,0,0,0,0,0,0,0
"Tulloch, Stephen",OLB,2015,16,107,1,0,1,0,0,0,0
"Tulloch, Stephen",OLB,2014,3,20,2,0,0,0,0,0,0
"Tulloch, Stephen",OLB,2013,16,135,3.5,0,3,1,0,0,0
"Tulloch, Stephen",OLB,2012,16,112,0.5,0,6,0,0,0,0
"Tulloch, Stephen",OLB,2011,16,111,3,0,5,2,0,9,9
"Tulloch, Stephen",OLB,2010,16,160,1,0,6,1,0,18,18
"Tulloch, Stephen",OLB,2009,16,121,2,0,1,0,0,0,0
"Tulloch, Stephen",OLB,2008,16,84,1,0,2,0,0,0,0
"Tulloch, Stephen",OLB,2007,16,45,0,0,0,0,0,0,0
"Tulloch, Stephen",OLB,2006,16,47,0.5,0,2,1,0,0,0
"Dunbar, Quinton",CB,2016,14,26,1,0,5,1,0,0,0
"Dunbar, Quinton",CB,2015,11,13,0,0,5,1,0,0,0
"Rodgers-Cromartie, Dominique",CB,2016,15,49,1,0,21,6,0,28,28
"Rodgers-Cromartie, Dominique",CB,2015,15,58,0,0,13,3,1,72,58T
"Rodgers-Cromartie, Dominique",CB,2014,16,38,0,0,12,2,0,26,16
"Rodgers-Cromartie, Dominique",CB,2013,15,31,0,0,14,3,1,75,75T
"Rodgers-Cromartie, Dominique",CB,2012,16,51,0,0,17,3,0,14,14
"Rodgers-Cromartie, Dominique",CB,2011,13,28,1,0,6,0,0,0,0
"Rodgers-Cromartie, Dominique",CB,2010,16,44,0,0,17,3,2,86,32T
"Rodgers-Cromartie, Dominique",CB,2009,16,50,0,0,25,6,1,77,49T
"Rodgers-Cromartie, Dominique",CB,2008,16,42,0,0,19,4,1,157,99T
"Fowler, Dante",DE,2016,16,32,4,0,5,0,0,0,0
"McLeod, Rodney",FS,2016,16,83,1,0,7,3,0,5,5
"McLeod, Rodney",FS,2015,16,82,0,0,5,1,0,4,4
"McLeod, Rodney",FS,2014,16,72,0,0,6,2,0,1,1
"McLeod, Rodney",FS,2013,16,79,0,0,7,2,0,2,2
"McLeod, Rodney",FS,2012,16,12,0,0,0,0,0,0,0
"Brock, Tramaine",CB,2016,16,59,0,0,14,1,0,39,39
"Brock, Tramaine",CB,2015,15,53,0,0,11,3,0,26,26
"Brock, Tramaine",CB,2014,3,7,0,0,0,0,0,0,0
"Brock, Tramaine",CB,2013,16,37,0,0,13,5,1,82,41
"Brock, Tramaine",CB,2012,16,16,0,0,1,0,0,0,0
"Brock, Tramaine",CB,2011,11,5,0,0,4,2,0,18,18
"Brock, Tramaine",CB,2010,3,4,0,0,0,0,0,0,0
"Cox, Fletcher",DT,2016,16,43,6.5,0,2,0,0,0,0
"Cox, Fletcher",DT,2015,16,71,9.5,0,2,0,0,0,0
"Cox, Fletcher",DT,2014,16,61,4,0,0,0,0,0,0
"Cox, Fletcher",DT,2013,16,41,3,0,1,0,0,0,0
"Cox, Fletcher",DT,2012,15,39,5.5,0,4,0,0,0,0
"Edelman, Julian",WR,2016,16,1,0,0,0,0,0,0,0
"Edelman, Julian",WR,2015,9,1,0,0,0,0,0,0,0
"Edelman, Julian",WR,2014,14,4,0,0,0,0,0,0,0
"Edelman, Julian",WR,2013,16,0,0,0,0,0,0,0,0
"Edelman, Julian",WR,2012,9,3,0,0,0,0,0,0,0
"Edelman, Julian",WR,2011,13,18,0,0,0,0,0,0,0
"Edelman, Julian",WR,2010,15,1,0,0,0,0,0,0,0
"Edelman, Julian",WR,2009,11,0,0,0,0,0,0,0,0
"Gilmore, Stephon",CB,2016,15,48,0,0,12,5,0,135,49
"Gilmore, Stephon",CB,2015,12,36,0,0,18,3,0,33,29
"Gilmore, Stephon",CB,2014,14,46,0,0,6,3,0,61,27
"Gilmore, Stephon",CB,2013,11,35,0,0,10,2,0,0,0
"Gilmore, Stephon",CB,2012,16,61,0,0,16,1,0,23,23
"Pierre-Louis, Kevin",OLB,2016,13,12,0,0,0,0,0,0,0
"Pierre-Louis, Kevin",OLB,2015,14,18,0,0,1,0,0,0,0
"Pierre-Louis, Kevin",OLB,2014,7,13,0,0,0,0,0,0,0
"Foster, Mason",ILB,2016,16,124,1,0,3,0,0,0,0
"Foster, Mason",ILB,2015,13,37,0,0,0,0,0,0,0
"Foster, Mason",ILB,2014,10,62,0,0,2,0,0,0,0
"Foster, Mason",ILB,2013,15,92,2,0,7,3,2,122,85T
"Foster, Mason",ILB,2012,16,105,2,0,1,1,0,0,0
"Foster, Mason",ILB,2011,16,84,2,0,2,1,0,0,0
"Bucannon, Deone",OLB,2016,13,91,0,0,4,0,0,0,0
"Bucannon, Deone",OLB,2015,16,112,3,0,3,1,1,39,39T
"Bucannon, Deone",OLB,2014,16,83,2,0,2,0,0,0,0
"Rowe, Eric",CB,2016,9,26,0,0,8,1,0,0,0
"Rowe, Eric",CB,2015,16,31,0,0,5,1,0,0,0
"Davis, Will",DB,2016,3,4,0,0,1,1,0,0,0
"Davis, Will",DB,2015,2,1,0,0,1,0,0,0,0
"Davis, Will",DB,2015,0,0,0,0,0,0,0,0,0
"Davis, Will",DB,2014,10,17,0,0,2,0,0,0,0
"Davis, Will",DB,2013,5,8,0,0,0,0,0,0,0
"O'Donnell, Pat",P,2016,16,0,0,0,0,0,0,0,0
"O'Donnell, Pat",P,2015,15,1,0,0,0,0,0,0,0
"O'Donnell, Pat",P,2014,16,2,0,0,0,0,0,0,0
"Williams, Brandon",NT,2016,16,51,1,0,1,0,0,0,0
"Williams, Brandon",NT,2015,16,53,2,0,2,0,0,0,0
"Williams, Brandon",NT,2014,16,46,0.5,0,0,0,0,0,0
"Williams, Brandon",NT,2013,7,6,1,0,0,0,0,0,0
"Miller, Harlan",FS,2016,2,7,0,0,1,1,0,52,52
"Bass, David",LB,2016,13,16,0,0,0,0,0,0,0
"Bass, David",LB,2015,16,36,1.5,0,4,1,0,8,8
"Bass, David",LB,2014,8,10,3,0,0,0,0,0,0
"Bass, David",LB,2013,12,23,1,0,1,1,1,24,24T
"Funchess, Devin",WR,2016,15,1,0,0,0,0,0,0,0
"Funchess, Devin",WR,2015,16,1,0,0,0,0,0,0,0
"Crowder, Jamison",WR,2016,16,1,0,0,0,0,0,0,0
"Crowder, Jamison",WR,2015,16,3,0,0,0,0,0,0,0
"Valentine, Vincent",NT,2016,13,19,1,0,0,0,0,0,0
"Line, Zach",FB,2016,15,2,0,0,0,0,0,0,0
"Line, Zach",FB,2015,16,2,0,0,0,0,0,0,0
"Line, Zach",FB,2014,1,0,0,0,0,0,0,0,0
"Line, Zach",FB,2013,3,0,0,0,0,0,0,0,0
"Vitale, Danny",RB,2016,9,2,0,0,0,0,0,0,0
"Abdullah, Ameer",RB,2016,2,0,0,0,0,0,0,0,0
"Abdullah, Ameer",RB,2015,16,4,0,0,0,0,0,0,0
"Green, A.J.",WR,2016,10,0,0,0,0,0,0,0,0
"Green, A.J.",WR,2015,16,2,0,0,0,0,0,0,0
"Green, A.J.",WR,2014,13,1,0,0,0,0,0,0,0
"Green, A.J.",WR,2013,16,3,0,0,0,0,0,0,0
"Green, A.J.",WR,2012,16,2,0,0,0,0,0,0,0
"Green, A.J.",WR,2011,15,2,0,0,0,0,0,0,0
"Johnson, Rashad",FS,2016,14,38,0,0,1,0,0,0,0
"Johnson, Rashad",FS,2015,14,61,0,0,7,5,0,14,11
"Johnson, Rashad",FS,2014,16,92,1,0,8,4,2,146,88T
"Johnson, Rashad",FS,2013,13,58,0,0,5,3,0,35,18
"Johnson, Rashad",FS,2012,15,20,0,0,2,2,1,87,53T
"Johnson, Rashad",FS,2011,16,50,0,0,1,0,0,0,0
"Johnson, Rashad",FS,2010,16,43,0,0,6,1,0,7,7
"Johnson, Rashad",FS,2009,10,20,0,0,1,0,0,0,0
"Clowney, Jadeveon",DE,2016,14,52,6,0,2,0,0,0,0
"Clowney, Jadeveon",DE,2015,13,40,4.5,0,6,0,0,0,0
"Clowney, Jadeveon",DE,2014,4,7,0,0,0,0,0,0,0
"McClain, Rolando",MLB,2015,11,80,2,0,3,1,1,12,12T
"McClain, Rolando",MLB,2014,13,81,1,0,3,2,0,0,0
"McClain, Rolando",MLB,2012,11,62,1,0,0,0,0,0,0
"McClain, Rolando",MLB,2011,15,99,5,1,14,0,0,0,0
"McClain, Rolando",MLB,2010,15,85,0.5,0,6,1,0,10,10
"Myers, Jason",K,2016,16,1,0,0,0,0,0,0,0
"Myers, Jason",K,2015,16,2,0,0,0,0,0,0,0
"Martin, Ronald",SS,2016,3,1,0,0,0,0,0,0,0
"Martin, Ronald",SS,2015,8,1,0,0,0,0,0,0,0
"Forrest, Josh",OLB,2016,10,9,0,0,1,0,0,0,0
"Williams, Xavier",NT,2016,8,6,0,0,0,0,0,0,0
"Williams, Xavier",NT,2015,4,2,0,0,0,0,0,0,0
"Dangerfield, Jordan",SS,2016,14,16,0,0,0,0,0,0,0
"Judon, Matt",LB,2016,14,27,4,0,2,0,0,0,0
"Crabtree, Michael",WR,2016,16,0,0,0,0,0,0,0,0
"Crabtree, Michael",WR,2015,16,1,0,0,0,0,0,0,0
"Crabtree, Michael",WR,2014,16,0,0,0,0,0,0,0,0
"Crabtree, Michael",WR,2013,5,0,0,0,0,0,0,0,0
"Crabtree, Michael",WR,2012,16,0,0,0,0,0,0,0,0
"Crabtree, Michael",WR,2011,15,0,0,0,0,0,0,0,0
"Crabtree, Michael",WR,2010,16,3,0,0,0,0,0,0,0
"Crabtree, Michael",WR,2009,11,3,0,0,0,0,0,0,0
"Dawson, Phil",K,2016,16,0,0,0,0,0,0,0,0
"Dawson, Phil",K,2015,16,0,0,0,0,0,0,0,0
"Dawson, Phil",K,2014,16,1,0,0,0,0,0,0,0
